title,author,short_author,date,genre,tt,publisher,pubplace,extent,editor,pubdate,createdate,authordates,keywords,language,collection,gender,sourcenote,period,shrtcite,filename,filesize,philodocid
La belle aux cheveux d' or," d'Aulnoy, Madame ",Aulnoy ,1830,contesdefées,prose,Baudot,Troyes,,,[entre 1830-1848],[entre 1830-1848],,,French,La belle aux cheveux d' or,F,,,Bbl159,Bbl159.tei,35761,196
Maître Pierre,"About, Edmond, 1828-1885.",About,1858,memoires,prose,,,,,1858,,,,Français,,M,,,RRN002,RRN002.tei,411734,751
La Grèce contemporaine,"About, Edmond, 1828-1885.",About,1854,recitvoyage,prose,"Paris, Hachette, 1858.",,,,1858,1854,,,,,M,,,TLF,TLF.1106.tei,630486,705
Tolla,"About, Edmond, 1828-1885.",About,1855,roman,prose,,,,,1855,,,,Français,,M,,,RRN003,RRN003.tei,432398,717
Le roi des montagnes,"About, Edmond, 1828-1885.",About,1857,roman,prose,"Paris, L. Hachette et Cie, 1857.",,,,1857,1857,,,,,M,,,TLF,TLF.1122.tei,444701,737
Germaine,"About, Edmond, 1828-1885.",About,1857,roman,prose,,,,,1857,,,,Français,,M,,,RRN001,RRN001.tei,425320,738
Le nez d'un notaire,"About, Edmond, 1828-1885.",About,1862,roman,prose,"Paris, Calmann-Levy, 1888.",,,,1888,1862,,,,,M,,,TLF,TLF.1153.tei,180296,813
[L' ]Homme à l' oreille cassée,"About, Edmond, 1828-1885.",About,1862,roman,prose,,,,,1862,,,,Français,,M,,,RRN004,RRN004.tei,338990,814
[Le] Mari imprévu,"About, Edmond, 1828-1885.",About,1863,roman,prose,,,,,1863,,,,Français,,M,,,RRN006,RRN006.tei,447404,825
[Les] Vacances de la Comtesse,"About, Edmond, 1828-1885.",About,1864,roman,prose,,,,,1864,,,,Français,,M,,,RRN0010,RRN0010.tei,527143,840
[L' ]Infâme,"About, Edmond, 1828-1885.",About,1867,roman,prose,,,,,1867,,,,Français,,M,,,RRN005,RRN005.tei,431425,878
Soi,"Adam, Paul, 1862-1920.",Adam,1886,indefini,prose,,,,,1886,,,,Français,,M,,,RRN0011,RRN0011.tei,509591,1120
[Le] P' tit,"Ajalbert, Jean, 1863-1947.",Ajalbert,1888,indefini,prose,,,,,1888,,,,Français,,M,,,RRN0013,RRN0013.tei,87704,1150
En amour,"Ajalbert, Jean, 1863-1947.",Ajalbert,1890,indefini,prose,,,,,1890,,,,Français,,M,,,RRN0012,RRN0012.tei,247541,1178
Théorie de la connaisance des StoÏciens,"Alain, 1868-1951.",Alain,1891,traite,prose,Les Presses universitaires de France,Paris,,,1964,1891,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Alain_Theorie_con_Stoiciens.tei,100104,1203
L'accord pour la vie ,"Alain, 1868-1951.",Alain,1895,traite,prose,Le Nouvelliste,Paris,,,1895,1895,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Accord_pour_la_vie.tei,15788,1256
Sur la mémoire ,"Alain, 1868-1951.",Alain,1899,traite,prose,Revue de Métaphysique et de Morale,Paris,,,1899,1899,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Alain_sur_la_Memoire.tei,134793,1308
Valeur morale de la joie d'après Spinoza ,"Alain, 1868-1951.",Alain,1899,traite,prose,Revue de Métaphysique et de Morale,Paris,,,1899,1899,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.valeur_morale_joie_Spinoza.tei,16441,1309
Madame Meuriot,"Alexis, Paul, 1847-1901.",Alexis,1891,indefini,prose,,,,,1891,,,,Français,,M,,,RRN0014,RRN0014.tei,754670,1204
Journal de l'annee 1866,"Amiel, Henri Frédéric, 1821-1881.",Amiel,1866,memoires,prose,"Ed. L. Bopp. Paris, Gallimard, 1959.",,,,1959,1866,,,,,M,,,TLF,TLF.1176.tei,1568544,868
"Correspondance, 1863","Ampère, André-Marie, 1775-1836 and Ampère, J.-J. (Jean Jacques), 1800-1864.",AmpèreAMAmpèreJJ,1863,correspondance,prose,"In Ampere (A.M.), Ampere (J.J.). Corresp. et Souv. Paris, Hetzel, 1875.",,,,1875,1863,,,,,M,,,TLF,TLF.1156.tei,185493,826
Correspondance,"Ampère, André-Marie, 1775-1836.",AmpèreAM,1827,correspondance,prose,"In Ampere (A.M.), Ampere (J.J.). Corresp. et Souv. Paris, Hetzel, 1875.",,,,1875,1827,,,,,M,,,TLF,TLF.908.tei,333474,163
Code civil des Français,Anonymous,Anonymous,1804,traiteessai,prose,"Paris, Impr. de la Republique, An XII-1804.",,,,1804,1804,,,,,U,,,TLF,TLF.852.tei,723106,31
